frame,xmin,xmax,ymin,ymax,class_id,label_name
final 2_mp4-5372_jpg.rf.zy85VTWP6tFlZGijU8Ww.jpg,187,575,0,587,3,person
final 2_mp4-5372_jpg.rf.zy85VTWP6tFlZGijU8Ww.jpg,506,940,132,720,3,person
final 2_mp4-5372_jpg.rf.zy85VTWP6tFlZGijU8Ww.jpg,1133,1280,44,654,3,person
final 2_mp4-5372_jpg.rf.zy85VTWP6tFlZGijU8Ww.jpg,1153,1280,171,386,2,laptop
final 2_mp4-4742_jpg.rf.BOxi8uTJJUmJRSD7b3cZ.jpg,410,924,0,720,3,person
final 2_mp4-4742_jpg.rf.BOxi8uTJJUmJRSD7b3cZ.jpg,1045,1151,231,652,3,person
final 2_mp4-7422_jpg.rf.Bmov7iYz2ZSKOe7qGfb0.jpg,214,568,426,720,2,laptop
final 2_mp4-7422_jpg.rf.Bmov7iYz2ZSKOe7qGfb0.jpg,524,1088,125,720,3,person
final 2_mp4-4277_jpg.rf.DPONb5tsvEE4q1Svolho.jpg,481,838,540,720,1,cell phone
final 2_mp4-4277_jpg.rf.DPONb5tsvEE4q1Svolho.jpg,270,971,91,720,3,person
final 2_mp4-3086_jpg.rf.DzEAtOB6k47811kghqHu.jpg,435,1081,149,720,3,person
final 2_mp4-3086_jpg.rf.DzEAtOB6k47811kghqHu.jpg,3,280,4,720,3,person
final 2_mp4-3086_jpg.rf.DzEAtOB6k47811kghqHu.jpg,526,661,359,577,1,cell phone
final 2_mp4-1604_jpg.rf.G1KAjaHF34btUjkJ9yZu.jpg,451,1127,222,720,3,person
final 2_mp4-1604_jpg.rf.G1KAjaHF34btUjkJ9yZu.jpg,595,845,573,720,1,cell phone
final 2_mp4-2007_jpg.rf.G9VNfF9Ovhkqxs5hkNaq.jpg,558,972,259,720,3,person
final 2_mp4-2007_jpg.rf.G9VNfF9Ovhkqxs5hkNaq.jpg,745,876,580,720,1,cell phone
final 2_mp4-3451_jpg.rf.HzEqd1Go7SYg8NZahHCp.jpg,1100,1280,215,690,3,person
final 2_mp4-3451_jpg.rf.HzEqd1Go7SYg8NZahHCp.jpg,243,933,0,360,3,person
final 2_mp4-3451_jpg.rf.HzEqd1Go7SYg8NZahHCp.jpg,538,693,279,522,1,cell phone
final 2_mp4-3451_jpg.rf.HzEqd1Go7SYg8NZahHCp.jpg,400,920,90,720,3,person
final 2_mp4-1468_jpg.rf.IvQB09DoQOpue8FEPKoR.jpg,473,1057,198,720,3,person
final 2_mp4-5791_jpg.rf.Pyv7rNNP5Yz3WfcIgksW.jpg,492,1101,103,720,3,person
final 2_mp4-0441_jpg.rf.Qz9GscuJQKF0rgN79GwE.jpg,1000,1280,0,720,3,person
final 2_mp4-0441_jpg.rf.Qz9GscuJQKF0rgN79GwE.jpg,115,617,243,698,2,laptop
final 2_mp4-0441_jpg.rf.Qz9GscuJQKF0rgN79GwE.jpg,421,899,206,720,3,person
frame_5620_jpg.rf.RrdaEhINbihdWwYlswSj.jpg,1,379,313,639,2,laptop
frame_5620_jpg.rf.RrdaEhINbihdWwYlswSj.jpg,217,472,280,639,3,person
final 2_mp4-4897_jpg.rf.ScQqiSFJoyWDEAy3QhWY.jpg,450,752,199,691,1,cell phone
final 2_mp4-4897_jpg.rf.ScQqiSFJoyWDEAy3QhWY.jpg,150,932,36,720,3,person
final 2_mp4-2647_jpg.rf.Sl5IUdc3hRbHn8yLaHSm.jpg,398,1109,0,720,3,person
final 2_mp4-2647_jpg.rf.Sl5IUdc3hRbHn8yLaHSm.jpg,819,1239,589,720,1,cell phone
final 2_mp4-6636_jpg.rf.TW352277ERCo5jsuoHPy.jpg,284,970,105,717,3,person
final 2_mp4-7386_jpg.rf.UGQ2k2VT4G6XO5v9vM5j.jpg,506,981,114,438,3,person
final 2_mp4-7386_jpg.rf.UGQ2k2VT4G6XO5v9vM5j.jpg,419,1013,399,720,2,laptop
final 2_mp4-9109_jpg.rf.VJ99oE9ggnd0COrTeuNF.jpg,60,349,36,687,3,person
final 2_mp4-9109_jpg.rf.VJ99oE9ggnd0COrTeuNF.jpg,454,862,179,718,3,person
final 2_mp4-8371_jpg.rf.a3SgYxUg1460AYyxWaMc.jpg,418,967,187,717,3,person
final 2_mp4-1073_jpg.rf.gFlyGTpJYZ81fW2IVBPq.jpg,413,1132,217,720,3,person
final 2_mp4-4828_jpg.rf.iSx17l95rWtypQ5j7qy2.jpg,410,950,24,719,3,person
final 2_mp4-4828_jpg.rf.iSx17l95rWtypQ5j7qy2.jpg,81,509,0,670,3,person
final 2_mp4-4828_jpg.rf.iSx17l95rWtypQ5j7qy2.jpg,1046,1139,223,379,3,person
final 2_mp4-0318_jpg.rf.ijon6REKQmuDBdnXQmlF.jpg,755,973,471,720,1,cell phone
final 2_mp4-0318_jpg.rf.ijon6REKQmuDBdnXQmlF.jpg,1016,1126,210,389,3,person
final 2_mp4-0318_jpg.rf.ijon6REKQmuDBdnXQmlF.jpg,2,168,9,720,3,person
final 2_mp4-0318_jpg.rf.ijon6REKQmuDBdnXQmlF.jpg,484,1069,7,710,3,person
final 2_mp4-3710_jpg.rf.lF6UL4oOGlpRYQJsCKoT.jpg,358,1008,107,720,3,person
final 2_mp4-3710_jpg.rf.lF6UL4oOGlpRYQJsCKoT.jpg,0,224,0,720,3,person
final 2_mp4-4614_jpg.rf.lTevhCoi48Bnd4mjnA8d.jpg,187,590,0,677,3,person
final 2_mp4-4614_jpg.rf.lTevhCoi48Bnd4mjnA8d.jpg,471,1032,1,604,3,person
final 2_mp4-5208_jpg.rf.nziu9UoxEhgBHhu2vA3F.jpg,74,443,0,400,3,person
final 2_mp4-5208_jpg.rf.nziu9UoxEhgBHhu2vA3F.jpg,158,882,91,720,3,person
frame_2450_jpg.rf.pMebIkscuqRTUfOcgosi.jpg,218,443,157,637,3,person
final 2_mp4-3010_jpg.rf.pbrk6WD9gYze51C3D6af.jpg,207,732,28,419,3,person
final 2_mp4-3010_jpg.rf.pbrk6WD9gYze51C3D6af.jpg,898,1279,198,719,3,person
final 2_mp4-2472_jpg.rf.rdk8wTUY23yhXwN1WOv0.jpg,489,961,171,713,3,person
final 2_mp4-2472_jpg.rf.rdk8wTUY23yhXwN1WOv0.jpg,1107,1280,26,402,3,person
final 2_mp4-8547_jpg.rf.xh9CBZ0IszNfG4mwmI0l.jpg,368,913,190,720,3,person
final 2_mp4-8547_jpg.rf.xh9CBZ0IszNfG4mwmI0l.jpg,906,1280,499,720,1,cell phone
final 2_mp4-2013_jpg.rf.zBYVa7GPCzUXLSsd7DUN.jpg,487,993,250,720,3,person
final 2_mp4-2013_jpg.rf.zBYVa7GPCzUXLSsd7DUN.jpg,711,861,563,720,1,cell phone
final 2_mp4-7575_jpg.rf.zWvZO8qUXmByj6iKNoCf.jpg,410,1012,2,500,3,person
final 2_mp4-6346_jpg.rf.4pc5Hx87mAQY2GqeyXte.jpg,36,880,172,720,3,person
final 2_mp4-1115_jpg.rf.DeGkkHNz2dUkBXib6JcJ.jpg,447,1077,233,720,3,person
final 2_mp4-2008_jpg.rf.DpG6XGkyqV5fKUEZHSrf.jpg,510,976,278,720,3,person
final 2_mp4-2008_jpg.rf.DpG6XGkyqV5fKUEZHSrf.jpg,727,877,577,720,1,cell phone
final 2_mp4-5523_jpg.rf.EJHW24A2mQPyyJ6htCe2.jpg,421,1116,90,720,3,person
final 2_mp4-7640_jpg.rf.GR7naZdX9T9jlWOzV774.jpg,489,859,15,380,3,person
frame_1280_jpg.rf.J7t8ZGyp2AYxpyUESc83.jpg,192,487,203,638,3,person
frame_1280_jpg.rf.J7t8ZGyp2AYxpyUESc83.jpg,447,606,554,639,1,cell phone
final 2_mp4-6249_jpg.rf.KHkVsmjvyyxn8qFfX5JE.jpg,363,1032,148,720,3,person
final 2_mp4-6249_jpg.rf.KHkVsmjvyyxn8qFfX5JE.jpg,220,506,589,720,1,cell phone
final 2_mp4-1333_jpg.rf.Kcscc8ZVbYyQRyjk5aGn.jpg,526,1105,217,720,3,person
final 2_mp4-1333_jpg.rf.Kcscc8ZVbYyQRyjk5aGn.jpg,779,981,429,691,1,cell phone
final 2_mp4-7947_jpg.rf.NQfspvxk1H9DdjLQuD7i.jpg,272,519,433,605,2,laptop
final 2_mp4-7947_jpg.rf.NQfspvxk1H9DdjLQuD7i.jpg,524,892,171,535,3,person
final 2_mp4-7947_jpg.rf.NQfspvxk1H9DdjLQuD7i.jpg,701,1099,7,276,3,person
final 2_mp4-4020_jpg.rf.NorVW3hRkDV1RE4qYUP2.jpg,314,1025,100,720,3,person
final 2_mp4-1877_jpg.rf.NvqieSye2aO8i1Rlbd7s.jpg,473,991,224,720,3,person
final 2_mp4-1877_jpg.rf.NvqieSye2aO8i1Rlbd7s.jpg,244,672,596,720,2,laptop
final 2_mp4-1198_jpg.rf.O6D1OzaSWHrkanWOmQQN.jpg,445,1143,212,720,3,person
final 2_mp4-0378_jpg.rf.PrUdmqOinu1vN5QRFGdA.jpg,420,952,229,720,3,person
final 2_mp4-2922_jpg.rf.SlQA36dHE53pCS9VyGFC.jpg,250,968,79,711,3,person
final 2_mp4-4308_jpg.rf.XJ8KuMbVjTA1e2dP6FQt.jpg,269,999,95,720,3,person
final 2_mp4-7992_jpg.rf.aXDpSRCDzTVjU6iXsaWP.jpg,362,808,166,639,3,person
final 2_mp4-7992_jpg.rf.aXDpSRCDzTVjU6iXsaWP.jpg,267,610,0,191,3,person
final 2_mp4-1311_jpg.rf.aqN1pOVx0MwGXyV5Oept.jpg,458,1131,208,720,3,person
final 2_mp4-1311_jpg.rf.aqN1pOVx0MwGXyV5Oept.jpg,766,983,446,715,1,cell phone
final 2_mp4-5498_jpg.rf.fhecKvnm6dU61YenGtnc.jpg,444,1054,48,720,3,person
final 2_mp4-5456_jpg.rf.ldZ3unGlsb2X0Nlh6yst.jpg,201,492,202,479,2,laptop
final 2_mp4-5456_jpg.rf.ldZ3unGlsb2X0Nlh6yst.jpg,377,721,8,535,3,person
final 2_mp4-5456_jpg.rf.ldZ3unGlsb2X0Nlh6yst.jpg,542,1026,71,720,3,person
final 2_mp4-4669_jpg.rf.mVISmKArKtIi2Jvml4g1.jpg,1035,1125,226,445,3,person
final 2_mp4-4669_jpg.rf.mVISmKArKtIi2Jvml4g1.jpg,1115,1280,64,706,3,person
final 2_mp4-4669_jpg.rf.mVISmKArKtIi2Jvml4g1.jpg,411,1097,13,720,3,person
final 2_mp4-7981_jpg.rf.nLeGeaeA2GyXiHlSGRkZ.jpg,300,873,120,635,3,person
frame_3620_jpg.rf.npGBbIoPkGbfmIDAAuZb.jpg,161,454,146,638,3,person
final 2_mp4-0013_jpg.rf.oJKEYAwmyNAElYuJHqJt.jpg,1034,1133,212,359,3,person
final 2_mp4-0013_jpg.rf.oJKEYAwmyNAElYuJHqJt.jpg,492,760,678,720,1,cell phone
final 2_mp4-0013_jpg.rf.oJKEYAwmyNAElYuJHqJt.jpg,573,1159,6,720,3,person
final 2_mp4-0147_jpg.rf.p7yb6sKnmkmkMtnL8ASe.jpg,651,894,583,720,1,cell phone
final 2_mp4-0147_jpg.rf.p7yb6sKnmkmkMtnL8ASe.jpg,1022,1138,188,397,3,person
final 2_mp4-0147_jpg.rf.p7yb6sKnmkmkMtnL8ASe.jpg,483,1066,18,643,3,person
final 2_mp4-5079_jpg.rf.rT2yoyMybwBZz26Hp3fB.jpg,263,848,98,714,3,person
final 2_mp4-5079_jpg.rf.rT2yoyMybwBZz26Hp3fB.jpg,809,1171,34,682,3,person
final 2_mp4-7295_jpg.rf.rThTr6H4qIDBYPyRtUNY.jpg,467,808,652,720,1,cell phone
final 2_mp4-7295_jpg.rf.rThTr6H4qIDBYPyRtUNY.jpg,519,1145,0,705,3,person
final 2_mp4-1435_jpg.rf.sCpB7Cg52W8t0ni0Ze6Q.jpg,439,1020,195,720,3,person
final 2_mp4-3811_jpg.rf.tXtHovlzNICM62h0Q2YL.jpg,377,1026,145,720,3,person
final 2_mp4-4184_jpg.rf.xjMu5Q0zHd5bvhmwDuTd.jpg,274,1056,99,720,3,person
final 2_mp4-5799_jpg.rf.yxo8WO8tIZdikqPCqpHb.jpg,422,1024,100,720,3,person
final 2_mp4-0845_jpg.rf.3CLQOIIcPL2gB10i7Br9.jpg,453,1009,189,720,3,person
final 2_mp4-0625_jpg.rf.3lephfOknHFqfscbYVks.jpg,162,1120,170,720,3,person
final 2_mp4-1842_jpg.rf.4XKLgnaPbTEaLgcvyQIB.jpg,473,1012,271,720,3,person
final 2_mp4-1842_jpg.rf.4XKLgnaPbTEaLgcvyQIB.jpg,53,466,554,720,2,laptop
final 2_mp4-0365_jpg.rf.4zFWvwahe7bACR8rAkIC.jpg,1023,1136,216,406,3,person
final 2_mp4-0365_jpg.rf.4zFWvwahe7bACR8rAkIC.jpg,1097,1280,472,649,1,cell phone
final 2_mp4-0365_jpg.rf.4zFWvwahe7bACR8rAkIC.jpg,515,1059,0,720,3,person
final 2_mp4-0365_jpg.rf.4zFWvwahe7bACR8rAkIC.jpg,16,541,3,720,3,person
final 2_mp4-5389_jpg.rf.66aj7XPqbfz7oBL2I3ti.jpg,116,480,0,710,3,person
final 2_mp4-5389_jpg.rf.66aj7XPqbfz7oBL2I3ti.jpg,457,946,117,720,3,person
final 2_mp4-5389_jpg.rf.66aj7XPqbfz7oBL2I3ti.jpg,786,1080,157,404,2,laptop
final 2_mp4-5389_jpg.rf.66aj7XPqbfz7oBL2I3ti.jpg,957,1280,7,652,3,person
final 2_mp4-1729_jpg.rf.6E2fzthpdFsd1n1aZ0hB.jpg,503,1112,208,715,3,person
final 2_mp4-2067_jpg.rf.9lS8pli04OGN6kQ35JDM.jpg,474,908,155,720,3,person
final 2_mp4-2067_jpg.rf.9lS8pli04OGN6kQ35JDM.jpg,875,1200,0,601,3,person
final 2_mp4-2067_jpg.rf.9lS8pli04OGN6kQ35JDM.jpg,1133,1280,220,720,3,person
final 2_mp4-0848_jpg.rf.A9IH6CROp8eYgOzmLB56.jpg,394,1063,191,720,3,person
final 2_mp4-5231_jpg.rf.CHiECZOLozm6ZQRCrdul.jpg,127,723,68,720,3,person
final 2_mp4-5231_jpg.rf.CHiECZOLozm6ZQRCrdul.jpg,615,1066,9,695,3,person
final 2_mp4-1618_jpg.rf.FNMF1vguvjj7fCDz6rAR.jpg,435,983,197,719,3,person
final 2_mp4-2587_jpg.rf.FOndKNkZsboAGInw3iUK.jpg,485,1003,0,709,3,person
final 2_mp4-2587_jpg.rf.FOndKNkZsboAGInw3iUK.jpg,641,873,419,707,1,cell phone
final 2_mp4-5561_jpg.rf.Grh8adB1NR9H8mjBmhUB.jpg,376,693,410,720,1,cell phone
final 2_mp4-5561_jpg.rf.Grh8adB1NR9H8mjBmhUB.jpg,523,1065,96,720,3,person
final 2_mp4-3353_jpg.rf.OEE1HYG5xdf1c2pdxiao.jpg,565,760,576,720,1,cell phone
final 2_mp4-3353_jpg.rf.OEE1HYG5xdf1c2pdxiao.jpg,501,937,80,720,3,person
final 2_mp4-3353_jpg.rf.OEE1HYG5xdf1c2pdxiao.jpg,207,565,0,530,3,person
final 2_mp4-0922_jpg.rf.Qq2TdG6RRhvlFHxHP217.jpg,364,940,242,720,3,person
final 2_mp4-8585_jpg.rf.QsjkhfmUdhLN6I0Gx7pt.jpg,361,910,158,712,3,person
final 2_mp4-0559_jpg.rf.U6YAF9qRnsfcvKmQxkAQ.jpg,665,758,335,561,1,cell phone
final 2_mp4-0559_jpg.rf.U6YAF9qRnsfcvKmQxkAQ.jpg,590,968,150,720,3,person
final 2_mp4-0559_jpg.rf.U6YAF9qRnsfcvKmQxkAQ.jpg,493,1014,12,502,3,person
final 2_mp4-8643_jpg.rf.V0iOMULF1X69HEk3m7KF.jpg,409,928,124,574,3,person
frame_5460_jpg.rf.WwudJ0hV8ywOOgQVtVOY.jpg,187,484,146,638,3,person
frame_3430_jpg.rf.XpnSeBUoA84Ei06WYvmG.jpg,196,530,80,639,3,person
final 2_mp4-2134_jpg.rf.awaPpHTcEWlEqFiHhCf4.jpg,378,634,498,614,1,cell phone
final 2_mp4-2134_jpg.rf.awaPpHTcEWlEqFiHhCf4.jpg,377,811,216,700,3,person
final 2_mp4-2134_jpg.rf.awaPpHTcEWlEqFiHhCf4.jpg,790,1142,19,680,3,person
final 2_mp4-8020_jpg.rf.eM7AWSZTRe1t2u3cQFXY.jpg,394,967,149,720,3,person
final 2_mp4-8020_jpg.rf.eM7AWSZTRe1t2u3cQFXY.jpg,0,228,619,720,1,cell phone
final 2_mp4-0952_jpg.rf.iaVNJLSGa3feTC5xYQeS.jpg,377,1000,238,720,3,person
final 2_mp4-6447_jpg.rf.ix5hbyVKg7Sl7g6iOPxv.jpg,278,989,91,720,3,person
final 2_mp4-0157_jpg.rf.jicy3gW0Sa9y5tlI9NzV.jpg,351,648,580,720,1,cell phone
final 2_mp4-0157_jpg.rf.jicy3gW0Sa9y5tlI9NzV.jpg,1050,1127,198,331,3,person
final 2_mp4-0157_jpg.rf.jicy3gW0Sa9y5tlI9NzV.jpg,633,1226,6,607,3,person
final 2_mp4-0157_jpg.rf.jicy3gW0Sa9y5tlI9NzV.jpg,66,412,7,661,3,person
final 2_mp4-8251_jpg.rf.k13gCT8IaWutCaECzuB2.jpg,309,854,211,715,3,person
final 2_mp4-2621_jpg.rf.k5fFQCpjgf4yPF2tW77S.jpg,453,1074,0,720,3,person
final 2_mp4-2621_jpg.rf.k5fFQCpjgf4yPF2tW77S.jpg,636,901,596,720,1,cell phone
frame_4130_jpg.rf.kViBeWLiSPtViySpRKrZ.jpg,141,552,94,639,3,person
final 2_mp4-0431_jpg.rf.nRTEUsAOm91YHQl6J4MJ.jpg,374,970,196,720,3,person
final 2_mp4-0431_jpg.rf.nRTEUsAOm91YHQl6J4MJ.jpg,1120,1280,102,715,3,person
final 2_mp4-3900_jpg.rf.rmksqRDh9M4grL57Rs8G.jpg,298,1034,129,720,3,person
final 2_mp4-4105_jpg.rf.zOuyQn0u4X6XlMuuj6J1.jpg,227,1030,114,720,3,person
final 2_mp4-0079_jpg.rf.0TOwIhHMd8pZwa25mmU0.jpg,579,680,254,465,1,cell phone
final 2_mp4-0079_jpg.rf.0TOwIhHMd8pZwa25mmU0.jpg,1034,1131,207,336,3,person
final 2_mp4-0079_jpg.rf.0TOwIhHMd8pZwa25mmU0.jpg,471,1162,21,661,3,person
final 2_mp4-8359_jpg.rf.1NkGhq1jSB4e5lF4moFN.jpg,327,918,132,720,3,person
final 2_mp4-0470_jpg.rf.3G4oNGZBsHWaLdpdKWSJ.jpg,310,866,63,532,2,laptop
final 2_mp4-0470_jpg.rf.3G4oNGZBsHWaLdpdKWSJ.jpg,968,1273,14,635,3,person
final 2_mp4-0470_jpg.rf.3G4oNGZBsHWaLdpdKWSJ.jpg,385,932,135,709,3,person
final 2_mp4-2468_jpg.rf.7UX47EyR66zqNsvFggu8.jpg,416,907,176,720,3,person
final 2_mp4-2468_jpg.rf.7UX47EyR66zqNsvFggu8.jpg,1166,1280,3,174,3,person
final 2_mp4-6264_jpg.rf.7lyHGPwynyktPVEorwq1.jpg,354,1000,144,720,3,person
final 2_mp4-6264_jpg.rf.7lyHGPwynyktPVEorwq1.jpg,1146,1280,211,390,3,person
final 2_mp4-4603_jpg.rf.8IAc8J9KPv6AzvPMkEcH.jpg,0,197,21,427,3,person
final 2_mp4-4603_jpg.rf.8IAc8J9KPv6AzvPMkEcH.jpg,400,948,10,644,3,person
final 2_mp4-4603_jpg.rf.8IAc8J9KPv6AzvPMkEcH.jpg,1053,1134,190,552,3,person
final 2_mp4-7767_jpg.rf.945ic4nanidVO4A8dOh3.jpg,365,932,144,682,3,person
final 2_mp4-4901_jpg.rf.CGDWJtn859jP2O2WVUBL.jpg,455,779,197,700,1,cell phone
final 2_mp4-4901_jpg.rf.CGDWJtn859jP2O2WVUBL.jpg,285,925,56,720,3,person
final 2_mp4-7555_jpg.rf.DosMfNhqAQAm53F9PY8H.jpg,410,1087,0,625,3,person
final 2_mp4-7671_jpg.rf.EevhG6Z51HA2DAJqDqKK.jpg,451,991,0,520,3,person
final 2_mp4-5934_jpg.rf.IIdFsnwDUifehj5GrYzY.jpg,0,357,0,720,3,person
final 2_mp4-5934_jpg.rf.IIdFsnwDUifehj5GrYzY.jpg,388,1097,95,720,3,person
final 2_mp4-5934_jpg.rf.IIdFsnwDUifehj5GrYzY.jpg,0,126,210,445,1,cell phone
final 2_mp4-5934_jpg.rf.IIdFsnwDUifehj5GrYzY.jpg,450,667,269,527,1,cell phone
final 2_mp4-3863_jpg.rf.J7JLhe2fQZHRkIQjqr9n.jpg,314,978,127,720,3,person
final 2_mp4-8162_jpg.rf.KnM4L7V1bGkddNX3dMQW.jpg,332,894,159,720,3,person
final 2_mp4-8162_jpg.rf.KnM4L7V1bGkddNX3dMQW.jpg,1003,1280,2,585,3,person
final 2_mp4-6610_jpg.rf.NurITrIB49QqswQzhCDD.jpg,39,443,0,720,3,person
final 2_mp4-6610_jpg.rf.NurITrIB49QqswQzhCDD.jpg,418,966,133,720,3,person
final 2_mp4-5047_jpg.rf.OsiSMnHFi7F86SzmxlMA.jpg,181,830,107,720,3,person
final 2_mp4-5047_jpg.rf.OsiSMnHFi7F86SzmxlMA.jpg,420,819,494,630,1,cell phone
final 2_mp4-5047_jpg.rf.OsiSMnHFi7F86SzmxlMA.jpg,1008,1280,47,507,3,person
final 2_mp4-7103_jpg.rf.UeBnigjx1cdBNOMcuJzk.jpg,661,867,402,571,1,cell phone
final 2_mp4-7103_jpg.rf.UeBnigjx1cdBNOMcuJzk.jpg,448,1001,69,716,3,person
final 2_mp4-7103_jpg.rf.UeBnigjx1cdBNOMcuJzk.jpg,1004,1280,0,465,3,person
final 2_mp4-8922_jpg.rf.bqCn8tRwV0aABvoEQT3f.jpg,385,889,173,653,3,person
final 2_mp4-1383_jpg.rf.em0r2yof68JOF5Cd4n8h.jpg,468,1058,174,720,3,person
frame_5550_jpg.rf.hkVDrUB2K3IIzN2v7usp.jpg,177,476,159,639,3,person
final 2_mp4-6007_jpg.rf.iN3y0MEi2wM803WH2u5y.jpg,432,1102,89,720,3,person
final 2_mp4-6007_jpg.rf.iN3y0MEi2wM803WH2u5y.jpg,0,286,0,711,3,person
final 2_mp4-6007_jpg.rf.iN3y0MEi2wM803WH2u5y.jpg,76,496,530,713,1,cell phone
final 2_mp4-6007_jpg.rf.iN3y0MEi2wM803WH2u5y.jpg,712,1116,633,720,1,cell phone
final 2_mp4-0194_jpg.rf.jlWcxAtZzdPYUyi5qNvm.jpg,1041,1132,211,332,3,person
final 2_mp4-0194_jpg.rf.jlWcxAtZzdPYUyi5qNvm.jpg,518,835,620,720,1,cell phone
final 2_mp4-0194_jpg.rf.jlWcxAtZzdPYUyi5qNvm.jpg,598,1112,4,666,3,person
final 2_mp4-0194_jpg.rf.jlWcxAtZzdPYUyi5qNvm.jpg,824,1054,0,309,3,person
final 2_mp4-1927_jpg.rf.kWQTUu1O3Uzhtvzkcknq.jpg,558,946,205,702,3,person
final 2_mp4-8937_jpg.rf.mrLRyxFW5m6CLnlAnpNu.jpg,328,523,647,719,1,cell phone
final 2_mp4-8937_jpg.rf.mrLRyxFW5m6CLnlAnpNu.jpg,415,882,164,645,3,person
final 2_mp4-4733_jpg.rf.qoQZrCsj9HD4pxrCEstK.jpg,371,913,0,496,3,person
final 2_mp4-4733_jpg.rf.qoQZrCsj9HD4pxrCEstK.jpg,1045,1142,220,373,3,person
final 2_mp4-8642_jpg.rf.rcqxvui8DNdRFThwBIH5.jpg,379,919,141,543,3,person
final 2_mp4-7036_jpg.rf.sXVdNIiwRMNhKPvXUhd6.jpg,705,884,294,579,1,cell phone
final 2_mp4-7036_jpg.rf.sXVdNIiwRMNhKPvXUhd6.jpg,504,1058,42,720,3,person
final 2_mp4-7036_jpg.rf.sXVdNIiwRMNhKPvXUhd6.jpg,937,1105,69,490,3,person
final 2_mp4-7036_jpg.rf.sXVdNIiwRMNhKPvXUhd6.jpg,1035,1280,0,554,3,person
final 2_mp4-2834_jpg.rf.uXKpZLalmywFqRVeUH6F.jpg,405,1041,8,720,3,person
frame_4940_jpg.rf.wKlJeLlMiLKe2Z7enkKu.jpg,87,567,155,496,3,person
final 2_mp4-2221_jpg.rf.xIaN7Ac2hVqhLOEByncn.jpg,464,1028,211,720,3,person
